State/Crop/District,Season,2019 - 2020,2019 - 2020,2019 - 2020,2020 - 2021,2020 - 2021,2020 - 2021,2021 - 2022,2021 - 2022,2021 - 2022,2022 - 2023,2022 - 2023,2022 - 2023
State/Crop/District,Season,Area (Hectare),Production (Tonnes),Yield (Ton./Ha.),Area (Hectare),Production (Tonnes),Yield (Ton./Ha.),Area (Hectare),Production (Tonnes),Yield (Ton./Ha.),Area (Hectare),Production (Tonnes),Yield (Ton./Ha.)
Madhya Pradesh,,,,,,,,,,,,,
1. Rice,,,,,,,,,,,,,
1. Gwalior,Kharif,90668.0,279190.0,3.08,106715.0,328602.67,3.08,103289.0,295406.66,2.86,108001.0,479848.0,4.44
Total (Rice),,90668.0,279190.0,3.08,106715.0,328602.67,3.08,103289.0,295406.66,2.86,108001.0,479848.0,4.44
2. Soyabean,,,,,,,,,,,,,
1. Gwalior,Kharif,3308.0,3387.0,1.02,1710.0,1026.0,0.6,90.0,100.0,1.11,424.0,599.0,1.41
Total (Soyabean),,3308.0,3387.0,1.02,1710.0,1026.0,0.6,90.0,100.0,1.11,424.0,599.0,1.41
